Player,Height,Weight,DraftNumber,Origin
Otto Porter Jr.,6-8,230.0,3,Georgetown
Andre Iguodala,6-6,215.0,9,Arizona
Evan Turner,6-6,220.0,2,Ohio State
Caris LeVert,6-6,205.0,20,Michigan
Jonathon Simmons,6-6,195.0,0,Houston
Lance Thomas,6-8,225.0,UFA,Duke
Luguentz Dort,6-4,220.0,UFA,Arizona State
Nickeil Alexander-Walker,6-5,205.0,17,Virginia Tech
Christian Wood,6-8,214.0,UFA,UNLV
Mario Chalmers,6-2,190.0,34,Kansas
Jayson Tatum,6-8,210.0,3,Duke
Jock Landale,6-11,255.0,UFA,St. Mary's
Alex Caruso,6-5,186.0,UFA,Texas A&M
Tari Eason,6-8,215.0,17,Louisiana State
TyTy Washington Jr.,6-3,195.0,29,Kentucky
DeMarcus Cousins,6-10,270.0,5,Kentucky
Joffrey Lauvergne,6-11,260.0,55,Khimki
Trey Burke,6-0,185.0,9,Michigan
Jawun Evans,6-0,190.0,39,Oklahoma State
Pablo Prigioni,6-3,185.0,UFA,Baskonia
Pau Gasol,7-0,250.0,3,FC Barcelona
Andrew Bogut,7-0,260.0,1,Utah
Tim Hardaway Jr.,6-5,205.0,24,Michigan
Randy Foye,6-4,218.0,7,Villanova
Kosta Koufos,7-0,245.0,23,Ohio State
Ziaire Williams,6-9,185.0,10,Stanford
Corey Brewer,6-9,188.0,7,Florida
Jason Thompson,6-11,250.0,12,Rider
Ben Sheppard,6-6,190.0,26,Belmont
Jahlil Okafor,6-10,270.0,3,Duke
Tyler Ennis,6-3,194.0,18,Syracuse
Danny Green,6-6,215.0,46,North Carolina
Doug McDermott,6-6,225.0,11,Creighton
Alfonzo McKinnie,6-7,215.0,UFA,Wisc.-Green Bay
Jeremiah Robinson-Earl,6-8,240.0,32,Villanova
Harry Giles,6-10,240.0,20,Duke
Frank Ntilikina,6-4,200.0,8,Strasbourg IG
DeAndre Liggins,6-6,209.0,53,Kentucky
Frank Jackson,6-3,205.0,31,Duke
Marcus Sasser,6-2,195.0,25,Houston
O.J. Mayo,6-5,210.0,3,Southern California
Richard Jefferson,6-7,233.0,13,Arizona
Jericho Sims,6-10,250.0,58,Texas
Jaylen Adams,6-0,225.0,UFA,St. Bonaventure
Marcelo Huertas,6-3,200.0,UFA,FC Barcelona
Miye Oni,6-5,206.0,58,Yale
Glenn Robinson III,6-6,222.0,40,Michigan
Jalen McDaniels,6-9,190.0,52,San Diego State
Damjan Rudež,6-10,228.0,UFA,Zaragoza
Tony Snell,6-6,213.0,20,New Mexico
Amar'e Stoudemire,6-10,245.0,9,Cypress Creek HS (FL)
Nikola Jović,6-10,205.0,27,Mega Basket
Kendrick Nunn,6-3,190.0,UFA,Oakland
Aron Baynes,6-10,260.0,UFA,Washington State
Wilson Chandler,6-8,235.0,23,DePaul
Willie Reed,6-11,245.0,0,St. Louis
Kris Murray,6-8,216.0,23,Iowa
Vince Carter,6-6,220.0,5,North Carolina
Thaddeus Young,6-8,225.0,12,Georgia Tech
Corey Kispert,6-6,224.0,15,Gonzaga
Kent Bazemore,6-4,195.0,UFA,Old Dominion
Dillon Brooks,6-6,225.0,45,Oregon
Kyle Anderson,6-9,230.0,30,UCLA
Isaac Okoro,6-5,225.0,5,Auburn
Darius Miller,6-6,225.0,46,Kentucky
Leandro Barbosa,6-3,194.0,28,Bauru
Will Barton,6-5,181.0,40,Memphis
Zach LaVine,6-5,200.0,13,UCLA
